"from","user","repo","stars"
"2016-04-07","rstudio","shiny","1694"
"2016-04-07","swirldev","swirl_courses","1677"
"2016-04-07","twitter","AnomalyDetection","1425"
"2016-04-07","qinwf","awesome-R","1255"
"2016-04-07","hadley","devtools","1231"
"2016-04-07","hadley","dplyr","1150"
"2016-04-07","yihui","knitr","1136"
"2016-04-07","szilard","benchm-ml","858"
"2016-04-07","ramnathv","slidify","675"
"2016-04-07","toddwschneider","nyc-taxi-data","611"
"2016-04-07","amplab-extras","SparkR-pkg","580"
"2016-04-07","jrnold","ggthemes","570"
"2016-04-07","hadley","rvest","527"
"2016-04-07","rstudio","ggvis","524"
"2016-04-07","hadley","httr","495"
"2016-04-07","rstudio","rmarkdown","482"
"2016-04-07","rich-iannone","DiagrammeR","481"
"2016-04-07","swirldev","swirl","469"
"2016-04-07","genomicsclass","labs","469"
"2016-04-07","google","CausalImpact","466"
"2016-04-07","ropensci","plotly","445"
"2016-04-07","hadley","plyr","431"
"2016-04-07","johnmyleswhite","ProjectTemplate","395"
"2016-04-07","rdpeng","ProgrammingAssignment2","372"
"2016-04-07","ramnathv","htmlwidgets","361"
"2016-04-07","dgrtwo","broom","360"
"2016-04-07","karthik","wesanderson","360"
"2016-04-07","smbache","magrittr","358"
"2016-04-21","johnmyleswhite","ML_for_Hackers","2284"
"2016-04-21","hadley","ggplot2","1768"
"2016-04-21","rstudio","shiny","1707"
"2016-04-21","swirldev","swirl_courses","1693"
"2016-04-21","twitter","AnomalyDetection","1433"
"2016-04-21","qinwf","awesome-R","1300"
"2016-04-21","hadley","devtools","1239"
"2016-04-21","hadley","dplyr","1167"
"2016-04-21","yihui","knitr","1141"
"2016-04-21","szilard","benchm-ml","874"
"2016-04-21","ramnathv","slidify","682"
"2016-04-21","toddwschneider","nyc-taxi-data","639"
"2016-04-21","amplab-extras","SparkR-pkg","584"
"2016-04-21","jrnold","ggthemes","578"
"2016-04-21","hadley","rvest","540"
"2016-04-21","rstudio","ggvis","529"
"2016-04-21","hadley","httr","502"
"2016-04-21","rich-iannone","DiagrammeR","491"
"2016-04-21","rstudio","rmarkdown","490"
"2016-04-21","genomicsclass","labs","482"
"2016-04-21","swirldev","swirl","475"
"2016-04-21","google","CausalImpact","468"
"2016-04-21","ropensci","plotly","464"
"2016-04-21","hadley","plyr","434"
"2016-04-21","johnmyleswhite","ProjectTemplate","396"
"2016-04-21","rdpeng","ProgrammingAssignment2","374"
"2016-04-21","dgrtwo","broom","373"
"2016-04-21","karthik","wesanderson","368"
"2016-04-21","ramnathv","htmlwidgets","366"
"2016-04-21","smbache","magrittr","364"
"2016-05-05","johnmyleswhite","ML_for_Hackers","2317"
"2016-05-05","hadley","ggplot2","1793"
"2016-05-05","rstudio","shiny","1719"
"2016-05-05","swirldev","swirl_courses","1711"
"2016-05-05","twitter","AnomalyDetection","1447"
"2016-05-05","qinwf","awesome-R","1318"
"2016-05-05","hadley","devtools","1249"
"2016-05-05","hadley","dplyr","1198"
"2016-05-05","yihui","knitr","1146"
"2016-05-05","szilard","benchm-ml","884"
"2016-05-05","ramnathv","slidify","687"
"2016-05-05","toddwschneider","nyc-taxi-data","657"
"2016-05-05","amplab-extras","SparkR-pkg","588"
"2016-05-05","jrnold","ggthemes","586"
"2016-05-05","hadley","rvest","552"
"2016-05-05","rstudio","ggvis","531"
"2016-05-05","hadley","httr","511"
"2016-05-05","rstudio","rmarkdown","501"
"2016-05-05","rich-iannone","DiagrammeR","499"
"2016-05-05","genomicsclass","labs","486"
"2016-05-05","ropensci","plotly","483"
"2016-05-05","google","CausalImpact","482"
"2016-05-05","swirldev","swirl","481"
"2016-05-05","hadley","plyr","436"
"2016-05-05","johnmyleswhite","ProjectTemplate","398"
"2016-05-05","karthik","wesanderson","384"
"2016-05-05","dgrtwo","broom","380"
"2016-05-05","ramnathv","htmlwidgets","373"
"2016-05-05","smbache","magrittr","372"
"2016-05-05","rdpeng","ProgrammingAssignment2","371"
